mtime,A,B,C,D,E,F,G,H,I,J
2021-11-01T03:40,628,2,643,1160,2094,4268,2014,126,4369,11438
2021-11-01T03:45,2263,2941,524,222,2174,3100,1381,493,756,2513
2021-11-01T03:50,2413,2964,983,539,2847,2328,685,96,6137,10718
2021-11-01T03:55,6926,4593,1085,2287,1003,3640,1883,480,2316,2518
2021-11-01T04:00,690,2851,95,464,14775,2724,1813,298,2833,2935
2021-11-01T04:05,823,1038,763,1449,4432,10949,1539,365,3648,4544
2021-11-01T04:10,1728,2670,697,1361,4419,2866,607,245,5504,12811
2021-11-01T04:15,1895,1028,346,203,4469,2419,2768,117,2520,3260
2021-11-01T04:20,3003,5321,35,796,4749,5346,90,192,1515,3411
2021-11-01T04:25,1457,1316,3141,643,1739,4288,1217,117,575,8191
2021-11-01T04:30,925,2003,1519,1685,2653,4995,348,343,6934,1691
2021-11-01T04:35,2884,522,1191,2365,566,217,1076,470,4376,9459
2021-11-01T04:40,760,581,676,1004,4331,2143,658,172,2160,3513
2021-11-01T04:45,525,3644,190,923,5738,3324,1598,105,3569,3929
2021-11-01T04:50,4467,1487,223,1970,4779,6872,688,204,340,523
2021-11-01T04:55,2246,1337,1531,1135,1744,1472,1201,226,2874,11360
2021-11-01T05:00,921,1609,1635,332,2386,598,814,519,1643,7373
2021-11-01T05:05,2935,1770,1712,1193,4588,2447,89,26,1178,4665
2021-11-01T05:10,1643,68,619,1976,4578,1121,1166,240,16095,1037
2021-11-01T05:15,5971,1207,1195,1210,4470,4445,1470,79,3172,3718
2021-11-01T05:20,1991,447,2812,2565,5552,3359,2235,361,6728,12502
2021-11-01T05:25,2040,992,1941,1751,3449,1593,1103,102,10174,3212
2021-11-01T05:30,1971,1314,1289,2393,3390,566,669,234,1308,3628
2021-11-01T05:35,5353,2811,2716,1527,10407,8029,4826,331,79,10192
2021-11-01T05:40,6260,3675,2569,1590,543,4936,6636,167,14414,8226
2021-11-01T05:45,9392,427,2443,719,7786,10927,2593,685,9159,8885
2021-11-01T05:50,4005,1594,2402,213,109,13700,2533,475,11356,13674
2021-11-01T05:55,383,1323,1408,2995,6377,10031,2879,215,34638,5927
2021-11-01T06:00,3237,3075,2759,2396,290,7653,4642,292,8917,7784
2021-11-01T06:05,1582,2516,4326,2123,3247,9137,537,956,8056,30291
2021-11-01T06:10,3408,933,2748,4091,4212,5702,1308,477,13731,7143
2021-11-01T06:15,7225,3319,5564,215,13479,13710,4596,1459,28096,89078
2021-11-01T06:20,10419,15088,8183,330,52049,5069,11946,1925,64349,40493
2021-11-01T06:25,7218,4073,214,4200,31365,3517,20876,849,114338,74080
2021-11-01T06:30,6583,4684,58,3461,2467,33612,6851,739,15415,12484
2021-11-01T06:35,10354,4004,9495,7116,12116,29411,7266,2153,1370,59691
2021-11-01T06:40,11886,3382,5463,2489,14346,19126,4809,191,25008,86808
2021-11-01T06:45,15688,11692,1724,9940,3945,17003,4910,276,7894,56568
2021-11-01T06:50,2379,10010,4440,7628,12347,13908,10559,1743,9709,33714
2021-11-01T06:55,3792,2754,606,1567,22786,15895,12763,572,45490,77453
2021-11-01T07:00,14000,3100,8323,1197,18076,1041,3713,390,48453,3011
2021-11-01T07:05,12353,12207,823,1176,14551,9865,5521,974,25608,24447
2021-11-01T07:10,20525,3039,1349,6571,5521,37483,3104,419,4453,106098
2021-11-01T07:15,2105,0,8593,3493,5955,11060,7619,11,65780,40044
2021-11-01T07:20,4344,5229,5201,2103,10733,17116,3848,822,10972,18463
2021-11-01T07:25,9361,9471,14395,7203,4249,24399,3570,414,17934,37988
2021-11-01T07:30,18663,5276,1165,243,164,6983,4527,522,33325,11913
2021-11-01T07:35,9200,28862,6378,6342,1547,23189,3575,1328,2048,19773
2021-11-01T07:40,7515,27553,8936,484,13175,5332,7767,833,62652,51634
2021-11-01T07:45,9572,30589,2332,6598,6795,18129,11392,797,11663,35834
2021-11-01T07:50,10844,6123,2515,954,12558,22399,2206,1043,9700,40205
2021-11-01T07:55,3791,9067,11951,9523,492,4986,8513,1225,7913,27178
2021-11-01T08:00,13072,4257,1633,7738,15527,28604,8434,2927,36984,41127
2021-11-01T08:05,1299,1158,9749,2468,26170,46986,3387,3167,6622,57861
2021-11-01T08:10,3342,2656,2219,4734,14786,37476,1042,3664,31728,10495
2021-11-01T08:15,6543,37802,19531,5885,9860,35486,813,3430,25170,26151
