mtime,A,B,C,D,E,F,G,H,I,J
2021-11-01T04:25,1762,5357,1579,227,1128,4624,2278,167,6170,4351
2021-11-01T04:30,1335,4333,528,408,1566,1981,410,104,2699,3398
2021-11-01T04:35,2382,3296,1006,1657,4818,3027,2362,96,4170,8013
2021-11-01T04:40,277,1449,945,1195,1437,6719,3633,15,4963,9124
2021-11-01T04:45,3612,186,1890,286,5608,1176,165,131,3421,8487
2021-11-01T04:50,1997,1125,2135,1870,541,1861,2894,297,3027,8130
2021-11-01T04:55,889,4120,1267,1818,980,7777,1209,235,2198,2519
2021-11-01T05:00,743,1438,1471,444,5006,5350,1361,35,10871,9515
2021-11-01T05:05,1762,2673,607,1500,533,2648,297,172,6312,7258
2021-11-01T05:10,1559,193,1620,1079,5661,3766,1319,94,2545,9515
2021-11-01T05:15,5650,2120,909,495,8438,8763,2165,237,12265,1010
2021-11-01T05:20,579,2687,2562,26,3359,140,99,4,11915,414
2021-11-01T05:25,3969,133,4290,71,3053,4248,182,343,5970,7853
2021-11-01T05:30,294,3264,965,873,11963,2500,925,271,3379,7568
2021-11-01T05:35,76,1845,716,1055,9269,3401,3355,416,3226,8353
2021-11-01T05:40,1200,722,2236,1443,2162,2353,508,453,15847,401
2021-11-01T05:45,4319,1216,2510,2064,9318,14489,1131,1223,7434,11087
2021-11-01T05:50,6383,1000,5596,180,6706,2320,4029,290,5115,15718
2021-11-01T05:55,8121,2098,2866,442,701,6214,1115,548,7650,16671
2021-11-01T06:00,3343,2707,1644,1145,16229,1113,2470,350,11169,1528
2021-11-01T06:05,7355,502,1802,2056,9420,1036,3100,478,6393,9932
2021-11-01T06:10,6859,4619,1673,1275,12835,13482,578,1,26863,12784
2021-11-01T06:15,17084,1732,5446,1283,38205,17597,100,1160,15924,32520
2021-11-01T06:20,17564,1417,4724,457,3599,13457,1037,2570,43794,78297
2021-11-01T06:25,5477,5937,11440,2048,15972,8558,16340,3139,19797,107115
2021-11-01T06:30,1130,10081,22597,2245,14838,51321,4346,2036,7257,35120
2021-11-01T06:35,11068,8323,6449,565,16436,19480,6762,754,18739,48726
2021-11-01T06:40,4978,5960,9957,2732,6905,22885,2414,3035,3243,20040
2021-11-01T06:45,10827,4429,14858,2034,361,12752,374,431,2810,4117
2021-11-01T06:50,9715,8632,803,7537,12216,10204,7443,3378,25983,31375
2021-11-01T06:55,9903,1690,6765,3589,11618,6990,7088,1481,32265,13889
2021-11-01T07:00,14514,149,4410,1808,7914,15491,8281,30,10873,78190
2021-11-01T07:05,18897,10174,5376,5428,6364,44042,5384,10,15047,5424
2021-11-01T07:10,15175,11081,183,1039,17628,24073,14692,2338,12375,37350
2021-11-01T07:15,7712,21285,7311,6546,4130,11863,1998,786,32693,14093
2021-11-01T07:20,569,15240,54,4080,9538,29749,11253,3103,17605,28256
2021-11-01T07:25,4366,3161,3779,784,4674,18113,1588,2020,29655,66724
2021-11-01T07:30,24083,19066,12460,635,6570,44490,2862,1444,5474,63229
2021-11-01T07:35,5210,9167,1284,7109,14463,41537,45,3164,2485,13833
2021-11-01T07:40,26179,10505,799,3616,4011,35391,11210,1619,4191,5366
2021-11-01T07:45,9190,10763,7399,1586,864,11576,1667,952,25959,80894
2021-11-01T07:50,8904,13602,4969,374,1582,3444,9324,1568,30434,59183
2021-11-01T07:55,14734,2880,9366,7510,20855,28746,11184,1507,7508,27983
2021-11-01T08:00,16724,10612,7594,7457,12962,11527,19029,23,23425,32773
2021-11-01T08:05,21024,18277,3387,8355,21399,11042,5244,1459,49053,19449
2021-11-01T08:10,22428,9841,181,1740,15033,42805,2904,2647,4201,51653
2021-11-01T08:15,2651,14123,12823,1632,9689,10901,14762,3839,27753,21307
