mtime,A,B,C,D,E,F,G,H,I,J
2021-11-01T04:35,6964,3612,2884,11876,2184,4676,6220,1108,29380,3660
2021-11-01T04:40,13732,2696,5548,1352,7612,4120,6316,556,12988,6160
2021-11-01T04:45,11588,14884,5356,864,2732,12020,668,1220,28032,52748
2021-11-01T04:50,5752,2404,5356,8304,5692,31728,3168,908,8660,33328
2021-11-01T04:55,2792,8260,1524,2256,13340,1116,8748,820,37648,816
2021-11-01T05:00,5288,1884,244,2624,30364,15276,7624,1752,18840,8412
2021-11-01T05:05,6844,9868,6796,6804,31328,28048,6500,360,12368,14360
2021-11-01T05:10,1812,5188,4128,5760,9248,21360,8240,1164,4432,55088
2021-11-01T05:15,7904,14424,5156,3536,13744,10108,24,1056,3248,15028
2021-11-01T05:20,4740,8972,11428,4988,18744,12700,7848,356,66180,16052
2021-11-01T05:25,8124,12324,7072,3932,24060,10608,12056,244,20960,7424
2021-11-01T05:30,964,7824,816,11532,17400,23920,9536,2092,29592,13152
2021-11-01T05:35,13784,2220,7228,6028,21564,2756,7416,220,52472,44152
2021-11-01T05:40,7592,15004,3452,16516,26016,21684,12580,1840,1024,8100
2021-11-01T05:45,10616,8284,11856,11340,28952,3076,15400,688,2488,85832
2021-11-01T05:50,9412,4788,25672,4548,2596,17820,11800,4168,46016,48260
2021-11-01T05:55,1324,10036,10552,16332,34300,30644,9456,2548,24476,94932
2021-11-01T06:00,8180,9500,8012,8656,44340,508,10760,2096,47336,126212
2021-11-01T06:05,30092,2908,5248,13628,25412,5860,21020,1664,34728,59744
2021-11-01T06:10,18068,9672,13980,280,5684,63888,9760,2460,90444,18328
2021-11-01T06:15,111724,56964,15700,8356,60108,456,20580,128,58848,35832
2021-11-01T06:20,25552,99920,43448,23656,76992,34432,48072,3528,33052,170804
2021-11-01T06:25,23028,23692,12008,14824,140748,27368,564,12356,235448,310988
2021-11-01T06:30,80100,14832,15300,404,105480,95524,26184,3584,81672,45220
2021-11-01T06:35,127276,25740,20032,6904,77928,78680,19032,4784,131848,103812
2021-11-01T06:40,7300,9240,25536,8952,17800,7100,48120,7784,188772,195072
2021-11-01T06:45,41196,2532,1872,15496,86208,51092,71804,3112,50912,111540
2021-11-01T06:50,55148,17488,5940,21048,70908,85844,14984,9868,55560,86584
2021-11-01T06:55,7172,4616,24004,7344,51276,7692,16304,2764,87464,25000
2021-11-01T07:00,50704,36072,7124,10756,167664,119632,4788,2932,3648,64852
2021-11-01T07:05,7352,22084,29016,29664,46136,28276,45988,3432,103344,140468
2021-11-01T07:10,15588,10676,12448,13348,38932,85672,17664,5092,73876,18932
2021-11-01T07:15,3528,51668,40452,12832,55864,78120,23984,2484,181360,44728
2021-11-01T07:20,4240,5452,5728,43936,64268,30020,20240,4108,169016,99236
2021-11-01T07:25,4588,32960,8988,3100,97428,18564,30744,852,91720,140548
2021-11-01T07:30,87188,24460,2376,120,19452,100532,21644,4784,91352,38568
2021-11-01T07:35,62048,80768,12640,292,103804,76292,16580,4476,243996,143916
2021-11-01T07:40,47936,45300,46684,11964,76040,50216,14012,21524,143140,7376
2021-11-01T07:45,12172,47568,46300,14796,29932,33832,22816,8916,117328,182492
2021-11-01T07:50,47844,24720,54624,9032,34404,96576,30292,520,88232,176804
2021-11-01T07:55,23236,14056,6484,27216,33256,8000,56520,6864,213000,139624
2021-11-01T08:00,75864,50720,13312,18324,49848,225800,17820,1040,44256,162512
2021-11-01T08:05,49896,156484,50872,23360,37092,37904,13708,9716,20516,380188
2021-11-01T08:10,14948,82584,83228,27552,153832,90304,85072,15200,187120,86428
2021-11-01T08:15,6584,34844,33300,11000,28,87192,49628,13128,151448,252348
