mtime,A,B,C,D,E,F,G,H,I,J
2021-11-01T04:30,2513,817,62,6,6675,7886,1592,169,4594,4573
2021-11-01T04:35,4530,3829,216,5,3783,4862,645,157,6475,15153
2021-11-01T04:40,4851,196,1044,191,1750,730,1268,216,12133,3022
2021-11-01T04:45,759,2214,62,1295,2041,5345,134,175,4940,3178
2021-11-01T04:50,460,1947,1827,1371,970,2984,2705,842,4868,17876
2021-11-01T04:55,1345,1036,658,1100,1417,2356,1674,32,2302,2655
2021-11-01T05:00,483,4847,1544,1429,1625,11205,814,193,1135,12548
2021-11-01T05:05,2399,3478,213,865,5099,3925,2434,122,4256,1096
2021-11-01T05:10,4561,1794,1211,448,6071,22,767,161,5738,10377
2021-11-01T05:15,2508,1011,1585,1266,3825,2396,1416,74,6816,7423
2021-11-01T05:20,3429,4380,2812,1093,4724,300,3315,159,3971,9574
2021-11-01T05:25,2992,1187,3571,920,7526,216,2723,81,3280,9679
2021-11-01T05:30,2465,139,1564,2654,1946,340,878,240,6726,14473
2021-11-01T05:35,4271,743,3316,3008,3212,693,1274,128,19198,1025
2021-11-01T05:40,1449,951,1641,3351,6092,4830,5421,588,3260,16244
2021-11-01T05:45,3710,5522,4028,3415,6772,5451,1736,458,6718,8431
2021-11-01T05:50,5928,2101,453,3168,4882,10393,1309,553,14601,7446
2021-11-01T05:55,6351,6943,2604,68,7631,2079,2055,167,15978,9053
2021-11-01T06:00,5672,3901,1981,3859,10836,9600,4126,453,20102,12191
2021-11-01T06:05,557,3235,2545,199,3138,9660,1487,548,31573,9194
2021-11-01T06:10,8708,2176,1406,547,26406,4522,1386,495,21311,15349
2021-11-01T06:15,14486,6580,2557,2629,8458,14874,1598,1622,34758,27761
2021-11-01T06:20,11553,4254,9220,5147,48441,23726,13357,1624,94394,27483
2021-11-01T06:25,25184,4355,3928,897,21458,13221,8119,668,26206,150082
2021-11-01T06:30,22811,4208,8033,5077,3652,1090,13720,764,25344,7196
2021-11-01T06:35,1547,1486,4838,863,33189,13753,4142,527,27924,14084
2021-11-01T06:40,7988,100,4671,2803,25402,26303,9787,1443,22995,87025
2021-11-01T06:45,2024,10945,2238,1972,9470,20742,1902,2270,16055,21505
2021-11-01T06:50,6051,6324,14179,81,35819,7712,1622,373,8958,18684
2021-11-01T06:55,10355,10518,3042,3524,652,10405,8376,430,969,61001
2021-11-01T07:00,15077,8517,11962,43,1383,1647,8070,1425,49712,109941
2021-11-01T07:05,25414,7413,2952,4859,17475,948,7593,1007,22397,33259
2021-11-01T07:10,8989,3509,3075,6594,27048,7447,6224,1360,23801,17755
2021-11-01T07:15,9117,2679,12266,1015,7140,20377,2626,600,28846,47129
2021-11-01T07:20,9710,19375,4118,4225,8219,20041,4254,598,36260,4188
2021-11-01T07:25,11194,1728,8021,3393,25305,12424,341,695,11855,48895
2021-11-01T07:30,1378,6235,8562,3188,8456,16269,2650,1064,63295,62834
2021-11-01T07:35,17806,29641,8538,795,16288,11870,3130,3348,20674,8905
2021-11-01T07:40,3265,745,53,6966,9166,18455,8363,849,53258,2441
2021-11-01T07:45,6334,10714,2724,9439,17467,11044,5212,3969,4677,24997
2021-11-01T07:50,4496,6096,5507,6662,5664,10012,9845,2504,14942,33906
2021-11-01T07:55,9371,12935,17916,3264,6030,2447,15571,2316,40432,55000
2021-11-01T08:00,12575,4733,4238,7350,8374,23077,60,5376,19401,756
2021-11-01T08:05,7334,21065,8220,5017,4884,5887,12080,4798,59280,32207
2021-11-01T08:10,9306,10097,14299,10724,4022,6073,798,1136,28977,55478
2021-11-01T08:15,7306,21844,6695,3327,19151,24158,3527,2416,16654,32357
