mtime,A,B,C,D,E,F,G,H,I,J
2021-11-01T03:55,92690,625485,32890,348565,241040,969220,109940,26335,537510,1060300
2021-11-01T04:00,293710,399855,164450,147200,1159430,400890,63135,64515,390885,101775
2021-11-01T04:05,160080,251965,76705,158815,430445,1132750,178020,3220,51060,614560
2021-11-01T04:10,404340,186760,19090,43470,426420,359490,4600,6670,1240850,399970
2021-11-01T04:15,363975,37835,54510,144670,306015,534865,203780,920,19090,367885
2021-11-01T04:20,378810,50370,246560,187220,368000,313490,64170,15640,42550,685975
2021-11-01T04:25,88435,244950,30475,65780,64400,314410,43585,5635,15640,451835
2021-11-01T04:30,800860,315445,290605,46575,364780,4600,63135,8165,1121020,40940
2021-11-01T04:35,543835,64515,171925,476790,401925,27830,41055,24955,479320,1401735
2021-11-01T04:40,165600,108100,46805,19895,15180,392150,270135,19780,586500,34385
2021-11-01T04:45,730020,139380,42550,221260,308085,13455,139955,3680,838350,139725
2021-11-01T04:50,496915,211370,131215,200560,78085,712885,119485,13340,276690,1027180
2021-11-01T04:55,322690,356270,94875,197570,103500,244490,192970,9660,557635,936445
2021-11-01T05:00,437575,811325,155825,266685,972900,705870,179400,18630,1580445,424005
2021-11-01T05:05,3450,412965,241730,178135,276690,179860,104535,8855,824435,268985
2021-11-01T05:10,248055,295435,92345,68885,868250,1093190,123280,47380,409860,710815
2021-11-01T05:15,237705,239430,175260,68425,759345,214705,22770,18055,1080080,1072835
2021-11-01T05:20,486910,166750,27140,111665,980490,263580,94530,56120,1185305,878025
2021-11-01T05:25,232415,106490,359375,301645,145935,102120,57155,30130,681030,533255
2021-11-01T05:30,42205,21620,159390,122475,181355,59455,96140,42895,1074330,476905
2021-11-01T05:35,78200,344310,438265,387780,216085,432630,357075,28980,1420940,1239815
2021-11-01T05:40,363975,472995,260935,224595,374670,435505,387550,4025,80500,1815620
2021-11-01T05:45,142370,172040,512440,124660,1110440,1560435,231265,29555,1286275,2191670
2021-11-01T05:50,674130,318320,121670,263925,659180,675855,218615,123510,375360,206080
2021-11-01T05:55,20700,93035,415380,39330,295435,303715,464830,89470,49220,5126585
2021-11-01T06:00,134665,386170,216545,252080,1156440,613410,166175,84985,2236980,2447545
2021-11-01T06:05,19895,352475,412160,425615,1078010,293825,197225,127420,69920,3205280
2021-11-01T06:10,2032050,658950,169165,223445,2755515,160080,77625,78775,1612070,413425
2021-11-01T06:15,1456360,422165,169970,252080,2167290,1064325,743475,182620,232760,3391005
2021-11-01T06:20,44045,542915,172500,140645,1767205,1635300,22655,126960,5230085,974740
2021-11-01T06:25,564650,1507420,1590565,171005,965770,1201980,54740,108100,3366395,9360655
2021-11-01T06:30,2768280,1173690,1382645,429295,5791745,2057580,11960,234715,523365,4633695
2021-11-01T06:35,1103425,1194505,1027640,650325,387780,4449465,1087210,152490,3316715,4782045
2021-11-01T06:40,1290070,273470,1638520,115690,3514975,37030,502205,373060,83030,8610510
2021-11-01T06:45,1295130,1451645,2387745,382490,330740,865835,391000,285890,1134935,3867105
2021-11-01T06:50,349600,1554570,753135,302220,1444170,1572970,115460,329130,562695,1666235
2021-11-01T06:55,796145,262660,720475,124775,364090,1093305,812820,65895,5992190,5402470
2021-11-01T07:00,534405,157895,1720400,327520,2844985,1193355,1403345,82455,3687475,3503935
2021-11-01T07:05,1323995,392265,539005,406295,264155,1828385,502090,51290,6460700,480010
2021-11-01T07:10,2511715,451490,253920,280830,1116995,638020,556945,325220,5119455,3341670
2021-11-01T07:15,940125,60950,378695,917355,5296440,187565,569595,7820,5225255,123855
2021-11-01T07:20,419635,513015,543375,400430,333270,883315,337065,96370,1855640,8182250
2021-11-01T07:25,246330,1056390,996590,957835,985895,1608160,541075,173075,4258450,8724475
2021-11-01T07:30,2771960,2072070,362940,258750,1306400,380305,258635,74980,7718110,7038920
2021-11-01T07:35,1541000,876185,1440720,907005,2747350,717025,1474645,17710,2068735,7365060
2021-11-01T07:40,1437730,3092925,186875,771305,1246830,1006020,60490,139495,8490795,10487770
2021-11-01T07:45,2005945,3925640,899645,442865,349715,2353015,723005,189635,5958380,6099025
2021-11-01T07:50,781770,1426000,1077550,195040,1078815,3178370,659525,65320,4463380,10695
2021-11-01T07:55,2681685,1695675,212060,11615,808565,2243420,1690500,93725,249320,3513250
2021-11-01T08:00,725190,198030,1571130,848355,1386555,6099255,638250,87630,2351750,4864040
2021-11-01T08:05,894355,1832410,17020,1371835,1496840,2737000,827080,156400,2353705,4266155
2021-11-01T08:10,148580,1734430,3239435,432170,4581370,5250900,94760,212175,5033435,4233955
2021-11-01T08:15,1952930,3491515,1864380,499215,1667615,3645500,163990,124660,1235560,5979885
